[2025-06-11T10:16:14.286Z] Evento: cliente_adicionado | Nome: Gabriel
[2025-07-10T11:46:13.477Z] Evento: cliente_adicionado | Nome: Gabriel
[2025-07-10T11:46:19.003Z] Evento: cliente_removido | Nome: Gabriel
[2025-07-10T11:46:36.802Z] Evento: lanche_adicionado | Nome: Salada
[2025-07-10T11:46:40.420Z] Evento: lanche_removido | Nome: Salada
[2025-07-10T11:54:44.511Z] Evento: cliente_adicionado | Nome: Gabriel
[2025-07-10T11:54:52.781Z] Evento: lanche_adicionado | Nome: Salada
[2025-07-10T11:55:02.033Z] Evento: cliente_removido | Nome: Gabriel
[2025-07-10T11:55:07.474Z] Evento: lanche_removido | Nome: Salada
[2025-07-10T11:57:14.450Z] Evento: cliente_adicionado | Nome: Gabriel
[2025-07-10T11:57:21.915Z] Evento: cliente_adicionado | Nome: Ana
[2025-07-10T11:57:26.922Z] Evento: lanche_adicionado | Nome: Salada
[2025-07-10T11:57:34.641Z] Evento: cliente_removido | Nome: Gabriel
[2025-07-10T11:57:40.209Z] Evento: lanche_removido | Nome: Salada
[2025-07-10T11:57:46.685Z] Evento: cliente_removido | Nome: Ana
[2025-07-17T15:39:54.619Z] Evento: cliente_adicionado | Nome: Gabriel
[2025-07-17T15:40:05.534Z] Evento: cliente_adicionado | Nome: Lisandro
[2025-07-17T15:44:28.735Z] Evento: lanche_adicionado | Nome: Salada
[2025-07-17T15:44:59.370Z] Evento: lanche_adicionado | Nome: Suco
